,Title,BodyPart,Equipment,Level,url
0,Partner plank band row,Abdominals,Bands,Intermediate,https://www.youtube.com/watch?v=VkZTVksGH90
1,Banded crunch isometric hold,Abdominals,Bands,Intermediate,https://www.youtube.com/watch?v=W1rgYpTQ1F4
2,FYR Banded Plank Jack,Abdominals,Bands,Intermediate,https://www.youtube.com/watch?v=iSuWP3wJ7uk
3,Banded crunch,Abdominals,Bands,Intermediate,https://www.youtube.com/watch?v=EBq6zi8KxCs
4,Crunch,Abdominals,Bands,Intermediate,https://www.youtube.com/watch?v=MKmrqcoCZ-M
5,Decline band press sit-up,Abdominals,Bands,Intermediate,https://www.youtube.com/watch?v=IINnwHwexkg
6,FYR2 Banded Frog Pump,Abdominals,Bands,Intermediate,https://www.youtube.com/watch?v=rzjQ8XpXt1Q
7,Band low-to-high twist,Abdominals,Bands,Intermediate,https://www.youtube.com/watch?v=kPugGvTvl1A
8,Barbell roll-out,Abdominals,Barbell,Intermediate,https://www.youtube.com/watch?v=s_elM3ciI8g
9,Barbell Ab Rollout - On Knees,Abdominals,Barbell,Intermediate,https://www.youtube.com/watch?v=mIYuVpQF3N8
10,Decline bar press sit-up,Abdominals,Barbell,Intermediate,https://www.youtube.com/watch?v=u1G8kWdTpbs
11,Bench barbell roll-out,Abdominals,Barbell,Beginner,https://www.youtube.com/watch?v=RVGYevyytlc
12,Barbell Side Bend,Abdominals,Barbell,Beginner,https://www.youtube.com/watch?v=CnsLmYb6tTw
13,Seated bar twist,Abdominals,Barbell,Intermediate,https://www.youtube.com/watch?v=cfUXRs1PylY
14,Single-arm landmine pull and press,Abdominals,Barbell,Intermediate,https://www.youtube.com/watch?v=DQoIRpuCN3s
15,Barbell Ab Roll Out - Gethin Variation,Abdominals,Barbell,Intermediate,https://www.youtube.com/watch?v=O-d6HC9gLcw
16,30 Barbell Floor Wiper,Abdominals,Barbell,Intermediate,https://www.youtube.com/watch?v=PI89l7T9v50
17,30 Barbell Roll-Out,Abdominals,Barbell,Intermediate,https://www.youtube.com/watch?v=3C1TRMJveXo
18,Decline plate sit-up,Abdominals,Barbell,Intermediate,https://www.youtube.com/watch?v=nDMylg0X9qQ
19,KV Barbell Hip Thrust,Abdominals,Barbell,Intermediate,https://www.youtube.com/watch?v=L1qG25DhAk4
20,Advanced Kettlebell Windmill,Abdominals,Kettlebells,Beginner,https://www.youtube.com/watch?v=H8fmeaq8ewI
21,Kettlebell Windmill,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=q8K_Wg8OuV4
22,Kettlebell Pass Between The Legs,Abdominals,Kettlebells,Beginner,https://www.youtube.com/watch?v=dPqGBoegbj8
23,Kettlebell 3-point leg extension,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=gz1_U9-pf_w
24,Double Kettlebell Swing,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=Tr4yzNiqOWY
25,Burpee over kettlebell,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=-6Qs-vvGDvI
26,Kettlebell toe-touch,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=mcZ3HCkXjH0
27,Kettlebell swing,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=WM8g4Mlu5Zs
28,Two-way swing,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=yMyQsTFl5vY
29,Kettlebell crab reach,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=sAn17wugKuM
30,Taylor Single-Arm Kettlebell Swing,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=pKYv5-SMHIw
31,Holman Kettlebell Up to Elbow Down,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=A1kYhiocXEg
32,FYR2 Double-Kettlebell Ski,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=oTLwhmtSo-w
33,FYR2 Kettlebell Hike,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=oizawfmaWpg
34,FYR2 Kettlebell Cross-Body Catch,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=_KkVdFti8Lo
35,FYR2 Kettlebell Duck Walk,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=WqagYS9WQIY
36,FYR2 Kettlebell Get-Up Reach,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=jgKFttG0Z7I
37,FYR2 Kettlebell Juggle,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=9Wu9M7HyFHA
38,FYR2 Squat-Clean-Alternating-Press Complex,Abdominals,Kettlebells,Intermediate,https://www.youtube.com/watch?v=NTxUEGPgV2w
39,Dumbbell V-Sit Cross Jab,Abdominals,Dumbbell,Intermediate,https://www.youtube.com/watch?v=k4vFGA7qOb4
40,Dumbbell spell caster,Abdominals,Dumbbell,Beginner,https://www.youtube.com/watch?v=fxL497_e6WI
